"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"35","1_444_1",0,0.55318502774736,0.0788759079517252,0.114139032334871,0.0600723204089405,0.0788759079517252,0.344671462174203,0.358907882691672,0.400527954760785,0.339386327873747,0.324431882350651,0.112534905930313,0.820722025612489,0.389853836441892,0.271809242028335,0.539285838490882,0.491909423613597,0.934266688382865,0.148076068628021,0.681084087796418,0.203778417994264,0.478928418284868,0.396821317560475,0.0777376016610244,2,26,FALSE
"36","1_446_1",0,0.608499204426784,0.0879644276100486,0.112906672945202,0.0625132055447493,0.0879644276100486,0.425238639372763,0.120910416365332,0.453550930416054,0,0.254589938740716,0.361160980777616,0.844645416524384,0.184988905219494,0.542066553197532,0.107730648956686,0.282815591875,0.674734575721303,0.00328145235911559,0.574004665384123,0.511218655893731,0.226168767096636,0.615124520270817,0.034151685520009,2,26,FALSE
"37","1_450_1",0,0.556766808155306,0.0956116487469886,0.131729458061124,0.0715864218706106,0.0956116487469886,0.243489726348285,0.665918957347645,0.540965011575245,0.66562285074717,0.353007921971122,0.00287900585005509,0.776947706051152,0.778600003588913,0.176516311587692,0.94950615309639,0.677051951542464,0.913260679059527,0.083752769266171,0.699249035555921,0.0778595159402132,0.724625752987006,0.375815476776112,0.116963421770161,1,41,FALSE
"38","1_452_1",0,0.46103503307902,0.102006256502932,0.124138964684514,0.0688787411313905,0.102006256502932,0.432545827999946,0.747232174953688,0.84588657355516,0.456285057296456,0.542427970204467,0.0354993527966993,0.805080480274922,0.328265099369383,0.00819618437566183,0.840488584720361,0.552345441985111,0.4145733187954,0.254454008515363,0.570062984485055,0.206320519606475,0.605525102589447,0.268234034738601,0.096458368234138,1,41,FALSE
"39","1_454_1",0,0.47832091448059,0.113402903262564,0.131398575158063,0.0804226201676266,0.113402903262564,0.278905696953657,0.571610165161534,0.97153636431527,0.771860686378963,0.456100249182104,0.345636380666183,0.829297424742496,0.67676794144621,0.0516709016458941,0.894078905189187,0.427295889236681,0.672672177756122,0.692941562935799,0.576920884797028,0.413349777163667,0.588442116958995,0.234227657290895,0.0384247772711934,1,41,FALSE
"40","1_456_1",0,0.496519518706,0.0980975841943803,0.138414513883761,0.0760273372735311,0.0980975841943803,0.27693930954947,0.536278191581713,0.889029269483113,0.568563504449428,0.512812091643979,0.332439027909869,0.838491620870441,0.689644541278156,0.0338868329581211,0.937769487678389,0.614402453930956,0.302597634251326,0.727374136018038,0.886017061394967,0.0762453304128637,0.729423887117609,0.453527178824059,0.063232298771291,1,41,FALSE
"41","1_457_1",0,0.529791811136201,0.0953902253725168,0.126771709923684,0.0708522048342473,0.0953902253725168,0.520665406319219,0.497619482806301,0.514579072277454,0.525933871111428,0.429706871552401,0.109647013506066,0.886741054237208,0.0721383695144542,0.0598311635383111,0.864053790091205,0.553977730534225,0.485921634813459,0.232083231020487,0.546822404989555,0.0594886735318023,0.628136709349678,0.470986242714985,0.0933368811435614,2,26,FALSE
"42","1_458_1",0,0.520026730978305,0.100778941931432,0.135917764468567,0.0739133218417107,0.100778941931432,0.21612357215472,0.347076826308933,0.752082394837575,0.546510421953187,0.502037720976745,0.564365545052243,0.854106372136556,0.922890194676867,0.0386753847036678,0.83793143370763,0.619522717201867,0.459419670784763,0.881159023268173,0.879252924093378,0.070239533371631,0.613627237601474,0.359037271061024,0.00547583177323237,1,41,FALSE
"43","1_459_1",0,0.487382577936816,0.0845953427584189,0.132669731458978,0.0632531456658715,0.0845953427584189,0.205133899403089,0.783452899215636,0.502576977876031,0.642904024691405,0.413700053553908,0.164609934158735,0.8451470980302,0.917641313301131,0,0.977492108511398,0.737177841425034,0.873556637783116,1,0.734852765865206,0.00316288497139581,0.715021573879868,0.370017669624985,0.0629631171268217,1,41,FALSE
"44","1_460_1",0,0.645813507796866,0.0976320081273998,0.124001253978445,0.0707141379204666,0.0976320081273998,0.465340582867304,0.495436533121057,0.0544049472286993,0.290928831139322,0.546477647424408,0.19359936630385,0.801739608513707,0.189419529527204,0.371928777042378,0.602452786197762,0.512336899873626,0.366811379973911,0.0696432556971061,0.678132546753438,0.137530134976726,0.707819319720704,0.554493226395319,0.0729138570004142,2,26,FALSE
